Name,Address,Detail URL,Phone,Website,Email
"Project Spaces Camden Street","20 Camden St Suite 200, Toronto, ON M5V 1V1","https://www.google.com/maps/place/Project+Spaces+Camden+Street/data=!4m7!3m6!1s0x882b34db89568941:0xc7d8cdba883936d5!8m2!3d43.6472915!4d-79.3969055!16s%2Fg%2F1q69vf957!19sChIJQYlWids0K4gR1TY5iLrN2Mc?authuser=0&hl=en&rclk=1","(416) 304-9014","https://projectspac.es",""
"EAST ROOM","50 Carroll St, Toronto, ON M4M 3G3","https://www.google.com/maps/place/EAST+ROOM/data=!4m7!3m6!1s0x89d4cb6be6356375:0x2a9c8646b670787f!8m2!3d43.6601806!4d-79.3534831!16s%2Fg%2F11b6rwsc_2!19sChIJdWM15mvL1IkRf3hwtkaGnCo?authuser=0&hl=en&rclk=1","(416) 628-5333","https://eastroom.com","info@eastroom.com"
"Workhaus Coworking & Office Space","181 University Ave 3rd Floor, Toronto, ON M5H 2X7","https://www.google.com/maps/place/Workhaus+Coworking+%26+Office+Space/data=!4m7!3m6!1s0x882b351b4645c321:0x2b7f7598ddc655b9!8m2!3d43.6492366!4d-79.3852468!16s%2Fg%2F11vb7lvvl1!19sChIJIcNFRhs1K4gRuVXG3Zh1fys?authuser=0&hl=en&rclk=1","(416) 917-3392","https://workhaus.ca","hello@workhaus.ca"
"The Village Hive Eglinton - Coworking & Meeting Space","120 Eglinton Ave E Suite 202, Toronto, ON M4P 1E2","https://www.google.com/maps/place/The+Village+Hive+Eglinton+-+Coworking+%26+Meeting+Space/data=!4m7!3m6!1s0x882b336f9278e269:0xf769547a9e11853d!8m2!3d43.7076991!4d-79.394878!16s%2Fg%2F11lgqmgvph!19sChIJaeJ4km8zK4gRPYURnnpUafc?authuser=0&hl=en&rclk=1","(647) 500-0980","https://thevillagehive.ca","info@eglintonhive.ca"
"The Collective Workspace","14 Leswyn Rd, North York, ON M6A 1K3","https://www.google.com/maps/place/The+Collective+Workspace/data=!4m7!3m6!1s0x882b33d6d3255555:0x12900068f8649c5a!8m2!3d43.7165718!4d-79.4648226!16s%2Fg%2F11h7s41ynf!19sChIJVVUl09YzK4gRWpxk-GgAkBI?authuser=0&hl=en&rclk=1","(416) 816-5879","https://thecollectiveto.com","user@domain.com"
"LAUFT On-Demand Workspace","95 King St E, Toronto, ON M5C 1G4","https://www.google.com/maps/place/LAUFT+On-Demand+Workspace/data=!4m7!3m6!1s0x89d4cbfcb3a1ba13:0x59a7440ec1df2a79!8m2!3d43.6496486!4d-79.3746917!16s%2Fg%2F11y1ss1xsx!19sChIJE7qhs_zL1IkReSrfwQ5Ep1k?authuser=0&hl=en&rclk=1","+1 844-935-2838","https://lauft.work","john@company.com"
"Workplace One Office Space & Coworking","51 Wolseley St, Toronto, ON M5T 1A4","https://www.google.com/maps/place/Workplace+One+Office+Space+%26+Coworking/data=!4m7!3m6!1s0x882b34dd8425ef55:0x7d6c209b9f6f7e3f!8m2!3d43.6481759!4d-79.402386!16s%2Fg%2F1tfgkfxc!19sChIJVe8lhN00K4gRP35vn5sgbH0?authuser=0&hl=en&rclk=1","(416) 645-7045","https://workplaceone.com","info@workplaceone.com"
"Adelaide House Coworking","410 Adelaide St W Suite 220, Toronto, ON M5V 1S8","https://www.google.com/maps/place/Adelaide+House+Coworking/data=!4m7!3m6!1s0x882b350bb316664b:0xff1feb8b6cc39ffc!8m2!3d43.6467232!4d-79.396766!16s%2Fg%2F11h3l5cqbc!19sChIJS2YWsws1K4gR_J_DbIvrH_8?authuser=0&hl=en&rclk=1","(416) 304-9612","https://adelaidehousecoworking.com","join@adelaidehousecoworking.com"
"Startuptive | Coworking and Team Office in Downtown Toronto","123 Edward St Suite 205, Toronto, ON M5G 1E2","https://www.google.com/maps/place/Startuptive+%7C+Coworking+and+Team+Office+in+Downtown+Toronto/data=!4m7!3m6!1s0x882b34c96843f507:0x6d73d5fe2a44194d!8m2!3d43.6556211!4d-79.3867882!16s%2Fg%2F11fzs15jfd!19sChIJB_VDaMk0K4gRTRlEKv7Vc20?authuser=0&hl=en&rclk=1","+1 800-989-5573","https://startuptive.com",""
"iQ Offices","150 King St W #200, Toronto, ON M5H 1J9","https://www.google.com/maps/place/iQ+Offices/data=!4m7!3m6!1s0x882b351e3ee63fcd:0x1c18bed2713dd981!8m2!3d43.6481287!4d-79.3844846!16s%2Fg%2F11g0dgx6h3!19sChIJzT_mPh41K4gRgdk9cdK-GBw?authuser=0&hl=en&rclk=1","(416) 238-1186","https://iqoffices.com","contact@iqoffices.com"
"VSpace (Coworking, Content Studio, Event Space)","517 Parliament St, Toronto, ON M4X 1P3","https://www.google.com/maps/place/VSpace+%28Coworking,+Content+Studio,+Event+Space%29/data=!4m7!3m6!1s0x89d4cb824b1b4017:0xd70dcf265d96d5cf!8m2!3d43.6652462!4d-79.3680313!16s%2Fg%2F11x02_qpt2!19sChIJF0AbS4LL1IkRz9WWXSbPDdc?authuser=0&hl=en&rclk=1","","https://vspace.world",""
"Netwyn Place","10 Thornmount Dr, Scarborough, ON M1B 3J4","https://www.google.com/maps/place/Netwyn+Place/data=!4m7!3m6!1s0x89d4da00bcf99403:0xa6fb68712f21dcc4!8m2!3d43.8081092!4d-79.1990432!16s%2Fg%2F11c5z_pf6f!19sChIJA5T5vADa1IkRxNwhL3Fo-6Y?authuser=0&hl=en&rclk=1","(416) 906-1414","https://netwyn.place",""
"The 48","1 King St W #4800, Toronto, ON M5H 1A1","https://www.google.com/maps/place/The+48/data=!4m7!3m6!1s0x89d4cb2d7d361929:0xe5aedb8181cd32f9!8m2!3d43.6488494!4d-79.3780573!16s%2Fg%2F11c6zwn1h8!19sChIJKRk2fS3L1IkR-TLNgYHbruU?authuser=0&hl=en&rclk=1","(416) 639-2131","https://the48.ca","info@the48.ca"
"The Village Hive Duncan Mill - Coworking & Meeting Space","150 Duncan Mill Rd Unit 2, North York, ON M3B 3M4","https://www.google.com/maps/place/The+Village+Hive+Duncan+Mill+-+Coworking+%26+Meeting+Space/data=!4m7!3m6!1s0x89d4d3353215a5e5:0xec40987d0d81f0a!8m2!3d43.7618213!4d-79.356114!16s%2Fg%2F11fwb1mlvt!19sChIJ5aUVMjXT1IkRCh_Y0IcJxA4?authuser=0&hl=en&rclk=1","(416) 903-8063","https://thevillagehive.ca","info@eglintonhive.ca"
"Venture X North York","5255 Yonge St Unit 201, North York, ON M2N 6P4","https://www.google.com/maps/place/Venture+X+North+York/data=!4m7!3m6!1s0x882b2d46d9eb89ed:0x65af49cb80e7b355!8m2!3d43.7721085!4d-79.4131541!16s%2Fg%2F11y1v1d4q0!19sChIJ7Ynr2UYtK4gRVbPngMtJr2U?authuser=0&hl=en&rclk=1","(416) 225-9999","https://venturexcanada.ca",""
"Staples Studio Toronto - University Ave Coworking Space","375 University Ave #102, Toronto, ON M5G 2J5","https://www.google.com/maps/place/Staples+Studio+Toronto+-+University+Ave+Coworking+Space/data=!4m7!3m6!1s0x882b35592d941c6d:0x54b4c19ac0d9a0b8!8m2!3d43.6535246!4d-79.3868226!16s%2Fg%2F11j01bnfwk!19sChIJbRyULVk1K4gRuKDZwJrBtFQ?authuser=0&hl=en&rclk=1","(647) 477-0700","https://studio.staples.ca",""
"Office146 Coworking Office","146 Thirtieth St, Etobicoke, ON M8W 3C4","https://www.google.com/maps/place/Office146+Coworking+Office/data=!4m7!3m6!1s0x882b49ad7f767993:0x400a70618dcd99f0!8m2!3d43.6010762!4d-79.5326244!16s%2Fg%2F11hdnvh2kq!19sChIJk3l2f61JK4gR8JnNjWFwCkA?authuser=0&hl=en&rclk=1","(289) 323-0490","https://office146.com","info@office146.com"
"Lokaal Coworking","142 Westmount Ave 2nd Floor, Toronto, ON M6H 3K4","https://www.google.com/maps/place/Lokaal+Coworking/data=!4m7!3m6!1s0x882b3514490f37cd:0xefbe838afc529f4f!8m2!3d43.6779087!4d-79.4420301!16s%2Fg%2F11fd6n7tsx!19sChIJzTcPSRQ1K4gRT59S_IqDvu8?authuser=0&hl=en&rclk=1","(416) 613-0512","https://lokaal.space","user@domain.com"
"Staples Studio Corktown Coworking","517 Richmond St E, Toronto, ON M5A 2W7","https://www.google.com/maps/place/Staples+Studio+Corktown+Coworking/data=!4m7!3m6!1s0x89d4cbf444a04bab:0xf4608803e948154f!8m2!3d43.654142!4d-79.3644767!16s%2Fg%2F11rcbtylj0!19sChIJq0ugRPTL1IkRTxVI6QOIYPQ?authuser=0&hl=en&rclk=1","(437) 826-9023","https://studio.staples.ca",""
